id,id_municipio,nome_fantasia,bairro,logradouro
108,260290,USF ALTO DOS INDIOS,PONTE DOS CARVALHOS,RUA 17 - 80
116,260290,USF CHARNECA II,CHARNECA,RUA 02 - 07
124,260290,USF SAO FRANCISCO I,SAO FRANCISCO,RUA MANOEL DOMINGOS BARROS - 38
132,260290,USF ROSARIO,ROSARIO,RUA 01 - 12
140,260290,USF JUSSARAL,JUSSARAL,ESTRADA DA VITORIA - S/N
159,260290,UAP TAPUGI,TAPUGI DE BAIXO,ENGENHO TAPUGI DE BAIXO - S/N
167,260290,USF MERCES,MERCES,RUA DO FERREIRO - S/N
175,260290,USF SUAPE,SUAPE,RUA JOSE MIGUEL DE SANTANA - 14
248,260290,USF MANOEL VIGIA,PONTE DOS CARVALHOS,RUA PREFEITO DIOMEDES FERREIRA DE MELO - S/N
256,260290,USF SANTA ROSA,PONTEZINHA,RUA SANTA ROSA - 36
264,260290,USF MARUIM,PONTE DOS CARVALHOS,RUA DO PORTO - 178
272,260290,USF ALTO DO SOL,PONTE DOS CARVALHOS,2 TRAV DA SAUDADE - 32
280,260290,USF CACARI,PONTE DOS CARVALHOS,RUA ANTONIO DA SILVA - 38
299,260290,USF TORRINHA,ALTO CRUZEIRO,RUA JOSE LINO DE LIMA - 68
302,260290,USF SANTO ESTEVAO,PONTE DOS CARVALHOS,RUA DO CEMITERIO - 68
310,260290,USF ALTO DA IGREJA,PONTE DOS CARVALHOS,RUA PREFEITO DIOMEDES FERREIRA DE MELO - 348
337,260290,USF ARARIBA,ARARIBA,ENGENHO ARARIBA DE BAIXO - S/N
345,260290,USF ALTO DO PIRES,PONTE DOS CARVALHOS,1 TRAV DO CRUZEIRO - S/N
353,260290,USF MALAQUIAS,MALAQUIAS,RUA 09 - 25
361,260290,USF SAO FRANCISCO II,SAO FRANCISCO,RUA 03 - 11
388,260290,USF SAO FRANCISCO III,SAO FRANCISCO,RUA 28 - 62
639,261160,US 106 CS PROF JOAQUIM CAVALCANTE,TORROES,ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS - 1350
752,261160,US 119 CS PROF JOSE CARNEIRO LEAO,PINA,RUA MARQUES DE ALEGRETE - S/N
760,261160,US 161 CS PROF ROMERO MARQUES,BONGI,RUA CARLOS GOMES - 932
817,261160,US 149 CS OLINTO OLIVEIRA,CAXANGA,RUA SAO FRANCISCO DE PAULA - 47
825,261160,US 155 CS PROF MONTEIRO DE MORAIS,BEBERIBE,AV BEBERIBE - 4510
833,261160,US 137 CS PROF DJAIR BRINDEIRO,BOA VIAGEM,RUA COSMORAMA - S/N
841,261160,US 150 CS PROFESSOR FERNANDES FIGUEIRAS,JARDIM SAO PAULO,AV SAO PAULO - 605
868,261160,US 142 CS BIDU KRAUSE,CURADO,AV ONZE DE AGOSTO - S/N
876,261160,US 138 USF DR LUIZ WILSOM,BOMBA DO HEMETERIO,RUA CHA DE ALEGRIA - S/N
957,261160,US 174 USF SITIO GRANDE,IMBIRIBEIRA,AV LUXEMBURGO - 254
965,261160,US 177 USF CHICO MENDES,AREIAS,RUA DO CAMPO - 29
1058,261160,US 121 CS PROF BRUNO MAIA,NOVA DESCOBERTA,RUA ALTO DO REFUGIO - S/N
1082,261160,US 104 CS SEBASTIAO IVO RABELO,COHAB,AV CAMPINA GRANDE - S/N
1090,261160,US 126 CS VER ROMILDO GOMES,IMBIRIBEIRA,RUA JALISCO - S/N
1112,261160,US 186 USF JARDIM UCHOA,AREIAS,RUA JUPIRACY - S/N
1163,261160,US 109 CS FRANCISCO PIGNATARI,CASA AMARELA,ESTRADA DO ARRAIAL - S/N
1198,261160,US 113 CS DR ARISTARCHO DOURADO DE AZEVEDO,JORDAO BAIXO,RUA BAHIA - 29
1236,261160,US 152 CS INA ROSA BORGES,VASCO DA GAMA,RUA SENADOR MILTON CAMPOS - S/N
1244,261160,US 175 USF DR DIOGENES CAVALCANTI,NOVA DESCOBERTA,RUA ALTO DA BRASILEIRA - 1002
1252,261160,US 218 USF COQUE,ILHA JOANA BEZERRA,RUA GUAPIRAMA - 65
1317,261160,US 120 CS MARIO MONTEIRO MELO,NOVA DESCOBERTA,RUA NOVA DESCOBERTA - 99
1368,261160,US 158 CS PAM CEASA,CURADO,RODOVIA BR 101SUL - 11606
1392,261160,US 148 CS DOM MIGUEL DE LIMA VALVERDE,BOA VIAGEM,RUA FELICIANO JOSE DE FARIAS - 195
1414,261160,US 117 CS GASPAR REGUEIRA COSTA,BARRO,RUA PADRE DIOGO RODRIGUES - 144
1503,261160,US 179 USF ALTO DO CEU,PORTO DA MADEIRA,RUA CAPITAO SALGUEIRO - 267
1511,261160,US 184 USF VILA UNIAO,IPUTINGA,RUA NOVA ALIANCA - S/N
1759,261160,US 103 CS PROF MARIO RAMOS,CASA AMARELA,RUA OSCAR DE BARROS - S/N
1813,261160,US 112 CS DR JOSE DUSTAN CARVALHO SOARES,IPUTINGA,AV MAURICIO DE NASSAU - S/N
2011,261160,US 171 USF JOAQUIM COSTA CARVALHO,ALTO DO MANDU,RUA SIRIJI - S/N
2046,261160,US 168 CTA CENTRO DE TESTAGEM E ACONSELHAMENTO,BOA VISTA,LARGO DA SANTA CRUZ - S/N
2062,261160,US 172 USF TRES CARNEIROS,COHAB,RUA IBITIARA - 154
2070,261160,US 173 USF DANCING DAYS,IMBIRIBEIRA,RUA DANCING DAYS - 109
2097,261160,US 183 USF SITIO DOS MACACOS,GUABIRABA,ESTRADA DOS MACACOS - 47
2100,261160,US 187 USF ILHA DE DEUS,IMBIRIBEIRA,RUA SAO JOSE - S/N
2127,261160,US 216 USF APIPUCOS,APIPUCOS,RUA CORONEL JOAO BATISTA DO REGO BARROS - 56
2135,261160,US 221 USF ILHA DE JOANEIRO,CAMPO GRANDE,RUA MARECHAL DEODORO - 688
2143,261160,US 123 CS PROF CESAR MONTEZUMA,RECIFE,AVENIDA CAIS DO APOLO - 925
2216,280030,US OSVALDO LEITE TERRA DURA,SANTA MARIA,AV AZUL - S/N
2259,280030,US MARIA DO CEU SANTOS PEREIRA,CENTRO,RUA MARUIM - 198
2291,280030,US GERALDO MAGELA DE MENEZES SAO CONRADO,SAO CONRADO,CENTRAL IV - S/N
2305,280030,US ADEL NUNES BAIRRO AMERICA,AMERICA,R HAITI - S/N
2364,280030,US CANDIDA ALVES SANTO ANTONIO,SANTO ANTONIO,RUA SAO JOAO - S/N
2380,280030,US HUGO GURGEL COROA DO MEIO,COROA DO MEIO,RUA RENATO FONSECA OLIVEIRA - S/N
2399,280030,US MANOEL DE SOUZA PEREIRA SOL NASCENTE,JABOTIANA,RUA MARIA DO CARMO COSTA - S/N
2410,280030,US DONA SINHAZINHA GRAGERU,GRAGERU,AVENIDA HERMES FONTES - S/N
2429,280030,US JOSE MACHADO DE SOUZA SANTOS DUMONT,SANTOS DUMONT,RUA MAJOR AURELIANO - 100
2445,280030,US HUMBERTO MOURAO GUIMARAES SAO CONRADO,SAO CONRADO,RUA A - S/N
2453,280030,US ANTONIO ALVES ATALAIA,ATALAIA,RUA FIRMINO FONTES - S/N
2461,280030,US FERNANDO SAMPAIO CASTELO BRANCO,PONTO NOVO,AV SAO JOAO BATISTA - 986
2526,280030,US FRANCISCO FONSECA DEZOITO DO FORTE,18 DO FORTE,AV ALVARO MARCIEL - 296
2542,280030,US JOAO CARDOSO NASCIMENTO JUNIOR JOSE CONRADO DE ARAUJO,JOSE CONRADO DE ARAU,RUA ALAGOAS - 2051
2550,280030,US ELIZABETE PITA TERRA DURA,TERRA DURA,RUA B - 14
2577,280030,US EDEZIO VIEIRA DE MELO SIQUEIRA CAMPOS,SIQUEIRA CAMPOS,RUA PARAIBA - S/N
2607,280030,US AUGUSTO CESAR LEITE SANTA TEREZA,AEROPORTO,RUA ELENITA NERY GOMES - S/N
2615,280030,US MINISTRO COSTA CAVALVANTE INACIO BARBOSA,INACIO BARBOSA,AV TRANCREDO NEVES - S/N
2623,280030,US WALTER CARDOSO VENEZA,VENEZA,RUA B - 372
2631,280030,US MADRE TEREZA DE CALCUTA JABOTIANA,JABOTIANA,LARGO DA APARECIDA - S/N
2763,280030,US DONA JOVEM AZEVEDO INDUSTRIAL,INDUSTRIAL,RUA ALTAMIRA - S/N
